state,x,y
Andhra Pradesh,-77,-147
Arunachal Pradesh,223,170
Assam,210,107
Bihar,64,84
Chhattisgarh,-20,-11
Goa,-183,-138
Gujarat,-228,28
Haryana,-130,166
Himachal Pradesh,-112,230
Jharkhand,51,43
Karnataka,-153,-172
Kerala,-128,-256
Madhya Pradesh,-104,27
Maharashtra,-140,-60
Manipur,231,62
Meghalaya,160,84
Mizoram,212,26
Nagaland,242,94
Odisha,38,-39
Punjab,-147,213
Rajasthan,-204,103
Sikkim,115,152
Tamil Nadu,-90,-238
Telangana,-78,-83
Tripura,168,40
Uttar Pradesh,-43,113
Uttarakhand,-70,186
West Bengal,107,25
Andaman And Nicobar Islands,187,-236
Chandigarh,-147,193
Daman And Diu,-248,-55
Delhi,-113,152
Jammu And Kashmir,-162,273
Lakshadweep,-247,-221
Puducherry,-62,-213
Ladakh,-108,285
